1.25	8.92
1.29	8.77
1.32	8.62
1.35	7.97
1.38	7.71
1.41	7.82
1.44	7.5
1.48	7.5
1.51	7.66
1.54	7.43
1.57	7.16
1.6	7.42
1.64	7.2
1.67	7.16
1.72	7.05
1.75	6.95
1.77	6.78
1.77	6.7
1.79	6.66
1.83	6.56
1.84	6.66
1.87	6.65
1.92	6.65
1.94	6.58
1.95	6.5
2	6.39
2.02	6.35
2.04	6.16
2.06	6.1
2.09	5.87
2.11	5.92
2.13	5.81
2.16	6.07
2.18	6.08
2.22	5.8
2.25	5.91
2.28	5.76
2.3	5.52
2.32	5.57
2.34	5.59
2.36	5.35
2.38	5.37
2.4	5.25
2.42	5.37
2.46	5.22
2.48	5.38
2.5	5.25
2.52	5.17
2.53	5.23
2.56	4.91
2.57	4.81
2.59	4.58
2.61	4.52
2.63	4.46
2.64	4.48
2.66	4.48
2.67	4.4
2.71	4.27
2.72	4.28
2.76	3.87
2.77	3.83
2.78	3.66
2.81	3.72
2.81	3.8
2.83	3.71
2.83	3.7
2.85	3.53
2.86	3.53
2.88	3.5
2.9	3.49
2.91	3.37
2.92	3.43
2.94	3.16
2.93	3.16
2.94	2.88
2.94	3.02
2.97	3.01
2.99	2.79
3.01	2.92
3.02	2.68
3.01	2.83
3.03	2.7
3.05	2.86
3.07	2.72
3.07	2.56
3.09	2.57
3.09	2.66
3.1	2.46
3.1	2.74
3.13	2.74
3.14	2.79
3.15	2.77
3.16	2.7
3.15	2.67
3.17	2.61
3.18	2.63
3.21	2.49
3.21	2.4
3.21	2.31
3.23	2.54
3.24	2.38
3.24	2.33
3.26	2.42
3.27	2.42
3.28	2.11
3.3	1.92
3.32	1.93
3.33	2.02
3.33	2.33
3.33	2.09
3.34	2.09
3.34	1.57
3.35	1.8
3.38	1.86
3.38	1.81
3.37	1.72
3.39	1.66
3.4	1.47
3.39	1.45
3.38	1.42
3.38	1.08
3.41	0.97
3.43	0.84
3.43	0.81
3.43	1.03
3.4	1.04
3.43	1.01
3.44	0.93
3.45	0.52
3.45	0.64
3.44	0.67
3.44	0.54
3.45	0.48
3.45	0.61
3.43	0.86
3.43	0.85
3.43	0.41
3.43	0.21
3.46	0.29
3.46	0.36
3.46	0.75
3.46	0.22
3.44	0.25
3.45	0.15
3.46	0.11
3.46	0.33
3.46	0.35
3.46	0.33
3.48	0.31
3.48	0.46
3.46	0.47
3.46	0.53
